text,subText,correctAnswer,answerFormat,followUpNotes
How many feet tall is the Statue of Liberty?,From ground to torch,305,plain,The statue was a gift from France in 1886
What year did the first iPhone release?,,2007,date,It revolutionized the smartphone industry
How much does a gallon of milk cost on average in the US?,As of 2024,3.99,currency,Prices vary by region and brand
What percentage of Earth's surface is covered by water?,,71,percentage,Most of it is in the oceans
How many days does it take Earth to orbit the Sun?,,365,plain,Actually 365.25 days - that's why we have leap years
What is the speed of light in miles per second?,,186282,plain,In a vacuum
How many bones are in the adult human body?,,206,plain,Babies are born with about 270 bones
What year did World War II end?,,1945,date,Victory in Europe Day was May 8th
How much does the average car cost in the US?,New car price in 2024,48000,currency,Used cars are significantly cheaper
What percentage of the human body is water?,,60,percentage,It varies by age and body composition